"unigram","bigram","freq"
"was","also",82
"was","at",82
"was","my",82
"woke","up",82
"working","with",82
"a","girl",81
"a","problem",81
"about","your",81
"an","old",81
"attempt","to",81
"does","it",81
"dont","even",81
"for","its",81
"glad","to",81
"happy","mothers",81
"has","no",81
"how","are",81
"i","may",81
"if","a",81
"if","there",81
"it","also",81
"it","took",81
"keep","it",81
"me","at",81
"my","dad",81
"outside","the",81
"shout","out",81
"the","stage",81
"you","at",81
"a","family",80
"a","part",80
"access","to",80
"are","more",80
"come","from",80
"day","for",80
"dont","need",80
"give","a",80
"go","out",80
"got","it",80
"great","to",80
"grew","up",80
"just","one",80
"my","phone",80
"off","a",80
"one","and",80
"our","own",80
"school","and",80
"something","i",80
"sure","you",80
"the","fire",80
"the","guy",80
"the","opportunity",80
"they","say",80
"to","reach",80
"to","send",80
"to","support",80
"turned","out",80
"with","its",80
"you","that",80
"are","no",79
"are","on",79
"form","of",79
"friday","night",79
"get","me",79
"give","you",79
"in","there",79
"it","had",79
"my","son",79
"over","to",79
"put","on",79
"saw","the",79
"so","happy",79
"stop","by",79
"the","church",79
"the","floor",79
"the","kind",79
"the","list",79
"the","program",79
"then","you",79
"things","i",79
"this","book",79
"us","in",79
"which","has",79
"a","look",78
"a","young",78
"about","his",78
"add","the",78
"and","most",78
"be","used",78
"can","help",78
"did","it",78
"did","the",78
"have","done",78
"have","fun",78
"he","and",78
"how","about",78
"hundreds","of",78
"is","really",78
"it","takes",78
"ive","got",78
"picked","up",78
"put","the",78
"the","building",78
"the","food",78
"the","hell",78
"the","line",78
"the","ones",78
"the","party",78
"the","phone",78
"the","yearold",78
"they","need",78
"this","blog",78
"to","protect",78
"to","walk",78
"was","like",78
"youre","a",78
"a","strong",77
"at","first",77
"beginning","of",77
"bunch","of",77
"despite","the",77
"difficult","to",77
"dont","care",77
"free","to",77
"gave","me",77
"him","a",77
"i","loved",77
"i","tried",77
"if","u",77
"important","to",77
"in","life",77
"is","only",77
"living","in",77
"next","time",77
"of","other",77
"of","things",77
"or","more",77
"place","in",77
"saw","a",77
"that","and",77
"the","nations",77
"this","will",77
"to","everyone",77
"to","just",77
"to","understand",77
"whats","up",77
"where","we",77
"who","can",77
"year","i",77
"you","say",77
"because","its",76
"but","my",76
"city","of",76
"comes","from",76
"few","weeks",76
"five","years",76
"for","any",76
"for","being",76
"forget","to",76
"i","needed",76
"in","january",76
"is","how",76
"its","so",76
"me","back",76
"my","last",76
"pair","of",76
"put","a",76
"said","but",76
"should","i",76
"the","former",76
"the","high",76
"the","late",76
"the","words",76
"think","we",76
"took","the",76
"very","much",76
"went","on",76
"wonder","if",76
"after","that",75
"all","you",75
"but","no",75
"can","we",75
"did","a",75
"found","that",75
"how","can",75
"how","they",75
"i","must",75
"in","st",75
"just","dont",75
"me","but",75
"my","little",75
"never","been",75
"of","money",75
"only","the",75
"seems","like",75
"talking","to",75
"the","boys",75
"the","life",75
"the","love",75
"the","person",75
"to","some",75
"until","i",75
"white","house",75
"who","were",75
"why","do",75
"you","got",75
"a","state",74
"are","just",74
"can","go",74
"children","and",74
"come","up",74
"days","of",74
"followed","by",74
"for","people",74
"god","is",74
"history","of",74
"id","like",74
"is","coming",74
