"unigram","bigram","trigram","freq"
"who","want","to",31
"will","be","at",31
"wish","i","was",31
"you","can","use",31
"you","get","a",31
"you","would","like",31
"a","good","one",30
"a","great","deal",30
"a","whole","lot",30
"an","opportunity","to",30
"and","we","have",30
"at","least","a",30
"at","the","moment",30
"back","to","work",30
"be","one","of",30
"but","its","not",30
"center","of","the",30
"close","to","the",30
"did","you","get",30
"dont","think","i",30
"excited","to","see",30
"get","to","see",30
"going","to","happen",30
"here","is","a",30
"i","can","say",30
"i","love","this",30
"i","made","a",30
"i","think","about",30
"i","think","this",30
"i","want","a",30
"is","a","lot",30
"is","so","much",30
"is","that","it",30
"its","not","the",30
"might","have","been",30
"need","to","go",30
"not","to","mention",30
"of","the","story",30
"of","the","things",30
"of","the","two",30
"of","the","united",30
"on","the","table",30
"on","the","th",30
"return","to","the",30
"that","is","not",30
"that","they","have",30
"the","early","s",30
"the","past","few",30
"the","same","as",30
"the","way","you",30
"the","whole","thing",30
"they","are","not",30
"those","of","you",30
"to","become","a",30
"to","hang","out",30
"to","meet","you",30
"to","say","i",30
"to","the","end",30
"to","the","top",30
"up","at","the",30
"we","all","know",30
"will","be","on",30
"will","continue","to",30
"with","the","new",30
"a","list","of",29
"all","of","this",29
"and","you","will",29
"at","this","time",29
"be","the","best",29
"but","im","not",29
"but","this","is",29
"chance","to","win",29
"do","not","have",29
"dont","even","know",29
"down","the","road",29
"going","back","to",29
"have","you","ever",29
"he","wants","to",29
"he","was","in",29
"i","am","still",29
"i","could","not",29
"i","felt","like",29
"i","have","had",29
"i","really","like",29
"if","it","is",29
"im","about","to",29
"in","a","way",29
"in","an","interview",29
"in","the","case",29
"it","turned","out",29
"its","time","for",29
"later","in","the",29
"make","it","a",29
"many","of","you",29
"my","best","friend",29
"of","new","york",29
"of","the","way",29
"of","thousands","of",29
"on","the","internet",29
"on","the","new",29
"out","of","your",29
"president","barack","obama",29
"said","that","the",29
"see","you","in",29
"seemed","to","be",29
"she","said","she",29
"so","i","have",29
"the","good","news",29
"the","los","angeles",29
"the","need","to",29
"the","new","jersey",29
"the","new","year",29
"the","one","who",29
"the","way","the",29
"they","are","the",29
"this","is","one",29
"time","of","the",29
"to","be","with",29
"to","get","into",29
"to","get","off",29
"to","get","your",29
"up","to","a",29
"wants","to","be",29
"what","you","are",29
"what","you","want",29
"whats","going","on",29
"when","they","were",29
"working","on","a",29
"you","know","it",29
"you","should","be",29
"a","fan","of",28
"a","very","good",28
"able","to","do",28
"all","is","well",28
"are","on","the",28
"are","so","many",28
"because","i","was",28
"but","i","will",28
"but","in","the",28
"check","out","my",28
"do","you","want",28
"familiar","with","the",28
"for","a","great",28
"from","am","to",28
"go","to","bed",28
"have","so","much",28
"have","to","wait",28
"i","didnt","want",28
"i","got","the",28
"i","think","my",28
"in","a","small",28
"in","a","very",28
"in","a","world",28
"in","fact","the",28
"in","the","league",28
"it","but","i",28
"listening","to","the",28
"meant","to","be",28
"next","to","me",28
"not","sure","if",28
"of","the","s",28
"of","the","same",28
"on","the","right",28
"out","of","his",28
"some","of","them",28
"st","louis","county",28
"that","had","been",28
"that","it","would",28
"that","kind","of",28
"the","associated","press",28
"the","difference","between",28
"the","first","place",28
"the","north","dakota",28
"the","past","year",28
"the","quality","of",28
"the","side","of",28
"the","th","century",28
"the","way","of",28
"the","world","of",28
"these","are","the",28
"think","about","the",28
"this","week","and",28
"to","all","my",28
"to","get","in",28
"to","return","to",28
"to","stay","in",28
"to","think","that",28
"up","for","a",28
"was","just","a",28
"we","are","not",28
"what","it","was",28
"will","never","be",28
"you","and","your",28
"you","can","also",28
"you","think","you",28
"a","few","months",27
"a","great","job",27
"a","man","who",27
"and","a","few",27
"and","on","the",27
"are","you","doing",27
"at","least","once",27
"be","the","first",27
"but","he","was",27
"can","see","the",27
"day","to","all",27
"executive","director","of",27
"for","a","year",27
"gave","me","a",27
"get","a","chance",27
"going","on","in",27
"going","to","bed",27
"going","to","go",27
"have","a","new",27
"he","will","be",27
"head","of","the",27
"here","in","the",27
"him","in","the",27
"how","to","make",27
"i","can","be",27
"i","found","out",27
"i","hate","when",27
"i","live","in",27
"i","saw","a",27
"i","was","there",27
"if","i","was",27
"if","they","dont",27
"in","need","of",27
"in","the","office",27
"is","all","about",27
"is","at","the",27
"is","hard","to",27
"is","likely","to",27
"is","that","i",27
"is","why","i",27
"it","seems","like",27
"it","seems","to",27
"it","was","like",27
"just","trying","to",27
"know","that","i",27
"know","what","to",27
"know","what","you",27
"last","time","i",27
"me","want","to",27
"more","about","the",27
"more","than","years",27
"new","york","times",27
"next","to","the",27
"none","of","the",27
"not","want","to",27
"of","the","top",27
"on","the","radio",27
"out","how","to",27
"quite","a","bit",27
"so","i","dont",27
"talk","to","you",27
"talking","about","the",27
"thanks","for","sharing",27
"that","if","i",27
"thats","why","i",27
"the","best","way",27
"the","day","i",27
"the","love","of",27
"the","most","part",27
"the","one","that",27
"the","risk","of",27
"the","sound","of",27
"the","way","we",27
"they","have","been",27
"this","will","be",27
"time","i","was",27
"to","go","home",27
"to","go","on",27
"to","go","out",27
"to","go","through",27
"to","hear","about",27
"to","the","public",27
"to","think","of",27
"to","use","a",27
"to","vote","for",27
"try","to","get",27
"trying","to","find",27
"turned","out","to",27
"want","you","to",27
"was","about","to",27
"we","have","the",27
"what","you","do",27
"where","he","was",27
"with","all","of",27
"you","can","be",27
"you","get","the",27
"a","bottle","of",26
"and","at","the",26
"and","they","were",26
"are","a","lot",26
"back","and","forth",26
"back","at","the",26
"but","they","are",26
"came","to","the",26
"cant","help","but",26
"chairman","of","the",26
"dont","have","any",26
"figure","out","how",26
"first","time","i",26
"follow","me","back",26
"for","those","of",26
"found","out","that",26
"get","ready","for",26
"gonna","be","a",26
"great","to","see",26
"have","been","the",26
"he","would","have",26
"i","have","an",26
"i","saw","the",26
"in","san","francisco",26
"in","the","late",26
"in","the","right",26
"instead","of","the",26
"is","a","new",26
"is","just","a",26
"it","as","a",26
"it","in","a",26
"it","was","great",26
"it","was","time",26
"last","year","and",26
"look","like","a",26
"make","sure","to",26
"me","know","if",26
"much","for","the",26
"of","people","who",26
"on","behalf","of",26
"on","my","own",26
"on","the","street",26
"one","of","these",26
"part","of","our",26
"quite","a","few",26
"reminds","me","of",26
"so","i","was",26
"some","kind","of",26
"something","to","do",26
"thanks","for","your",26
"the","first","quarter",26
"the","first","round",26
"the","first","two",26
"the","importance","of",26
"the","last","thing",26
"the","list","of",26
"the","lives","of",26
"the","point","of",26
"the","price","of",26
"the","type","of",26
"them","in","the",26
"there","is","nothing",26
"this","is","just",26
"this","one","is",26
"this","was","the",26
"time","for","a",26
"to","a","new",26
"to","catch","up",26
"to","change","the",26
"to","each","other",26
"to","new","york",26
"to","say","the",26
"to","see","that",26
"to","set","up",26
"to","take","on",26
"to","tell","me",26
"to","the","hospital",26
"want","to","give",26
"were","able","to",26
"what","a","great",26
"what","are","your",26
"why","am","i",26
"will","always","be",26
"would","not","have",26
"you","and","the",26
"you","are","doing",26
"you","are","so",26
"you","have","the",26
"you","know","how",26
"you","know","the",26
"you","look","at",26
"a","lack","of",25
"a","total","of",25
"all","in","the",25
"along","with","a",25
"and","lots","of",25
"and","no","one",25
"and","there","are",25
"are","looking","for",25
"as","for","the",25
"as","many","as",25
"at","one","point",25
"be","a","little",25
"because","it","was",25
"between","the","two",25
"but","then","i",25
"can","i","get",25
"fact","that","i",25
"for","following","me",25
"for","you","and",25
"good","luck","to",25
"good","to","see",25
"had","a","lot",25
"have","time","to",25
"he","is","not",25
"here","are","the",25
"how","many","of",25
"i","am","sure",25
"i","feel","so",25
"i","had","been",25
"i","just","got",25
